(SCHEMES,"Schemes",1)
(COLON,":",1)
(ID,"childOf",2)
(LEFT_PAREN,"(",2)
(ID,"X",2)
(COMMA,",",2)
(ID,"Y",2)
(RIGHT_PAREN,")",2)
(ID,"parentOf",3)
(LEFT_PAREN,"(",3)
(ID,"X",3)
(COMMA,",",3)
(ID,"Y",3)
(RIGHT_PAREN,")",3)
(ID,"grandchildOf",4)
(LEFT_PAREN,"(",4)
(ID,"X",4)
(COMMA,",",4)
(ID,"Z",4)
(RIGHT_PAREN,")",4)
(ID,"greatGrandchildOf",5)
(LEFT_PAREN,"(",5)
(ID,"X",5)
(COMMA,",",5)
(ID,"Z",5)
(RIGHT_PAREN,")",5)
(ID,"auntOrUncleOf",6)
(LEFT_PAREN,"(",6)
(ID,"X",6)
(COMMA,",",6)
(ID,"Y",6)
(RIGHT_PAREN,")",6)
(ID,"siblingOf",7)
(LEFT_PAREN,"(",7)
(ID,"X",7)
(COMMA,",",7)
(ID,"Y",7)
(RIGHT_PAREN,")",7)
(ID,"cousinOf",8)
(LEFT_PAREN,"(",8)
(ID,"X",8)
(COMMA,",",8)
(ID,"Y",8)
(RIGHT_PAREN,")",8)
(FACTS,"Facts",10)
(COLON,":",10)
(ID,"childOf",11)
(LEFT_PAREN,"(",11)
(STRING,"'Tim'",11)
(COMMA,",",11)
(STRING,"'Bea'",11)
(RIGHT_PAREN,")",11)
(PERIOD,".",11)
(ID,"childOf",12)
(LEFT_PAREN,"(",12)
(STRING,"'Jill'",12)
(COMMA,",",12)
(STRING,"'Ned'",12)
(RIGHT_PAREN,")",12)
(PERIOD,".",12)
(ID,"childOf",13)
(LEFT_PAREN,"(",13)
(STRING,"'Ned'",13)
(COMMA,",",13)
(STRING,"'Bea'",13)
(RIGHT_PAREN,")",13)
(PERIOD,".",13)
(ID,"childOf",14)
(LEFT_PAREN,"(",14)
(STRING,"'Ann'",14)
(COMMA,",",14)
(STRING,"'Jill'",14)
(RIGHT_PAREN,")",14)
(PERIOD,".",14)
(RULES,"Rules",16)
(COLON,":",16)
(ID,"parentOf",17)
(LEFT_PAREN,"(",17)
(ID,"P",17)
(COMMA,",",17)
(ID,"C",17)
(RIGHT_PAREN,")",17)
(COLON_DASH,":-",17)
(ID,"childOf",17)
(LEFT_PAREN,"(",17)
(ID,"C",17)
(COMMA,",",17)
(ID,"P",17)
(RIGHT_PAREN,")",17)
(PERIOD,".",17)
(ID,"grandchildOf",18)
(LEFT_PAREN,"(",18)
(ID,"C",18)
(COMMA,",",18)
(ID,"GP",18)
(RIGHT_PAREN,")",18)
(COLON_DASH,":-",18)
(ID,"childOf",18)
(LEFT_PAREN,"(",18)
(ID,"C",18)
(COMMA,",",18)
(ID,"P",18)
(RIGHT_PAREN,")",18)
(COMMA,",",18)
(ID,"childOf",18)
(LEFT_PAREN,"(",18)
(ID,"P",18)
(COMMA,",",18)
(ID,"GP",18)
(RIGHT_PAREN,")",18)
(PERIOD,".",18)
(ID,"greatGrandchildOf",19)
(LEFT_PAREN,"(",19)
(ID,"C",19)
(COMMA,",",19)
